Open,High,Low,Close,Volume,TradingDate
75175.0,75175.0,72930.0,72930.0,1595700,2021-03-19
74323.0,75485.0,73859.0,75097.0,1902000,2021-03-22
75020.0,75020.0,73859.0,74168.0,940800,2021-03-23
73549.0,74246.0,72852.0,73317.0,1422500,2021-03-24
73317.0,74323.0,73162.0,73626.0,1160300,2021-03-25
73549.0,73936.0,72543.0,73472.0,1196800,2021-03-26
73704.0,74168.0,72388.0,73781.0,1195800,2021-03-29
73781.0,73781.0,72852.0,73394.0,1748700,2021-03-30
73162.0,73626.0,72852.0,73394.0,944600,2021-03-31
73704.0,75639.0,73704.0,75020.0,2697600,2021-04-01
75485.0,76259.0,75020.0,75717.0,2277500,2021-04-02
76646.0,79588.0,76336.0,78968.0,3592400,2021-04-05
78968.0,79356.0,77807.0,78891.0,2243200,2021-04-06
78349.0,78968.0,77730.0,78891.0,1182700,2021-04-07
78891.0,78891.0,77033.0,77420.0,1575400,2021-04-08
77033.0,77033.0,75485.0,75485.0,2101700,2021-04-09
76259.0,76801.0,75407.0,76568.0,2670100,2021-04-12
77420.0,77420.0,75485.0,75485.0,1670900,2021-04-13
75330.0,76414.0,75020.0,76414.0,1336800,2021-04-14
77265.0,77265.0,74943.0,75485.0,2152800,2021-04-15
75330.0,76259.0,74323.0,74555.0,1515900,2021-04-16
75097.0,76259.0,74168.0,76259.0,1387500,2021-04-19
76723.0,81291.0,76259.0,79743.0,6274200,2021-04-20
79743.0,81756.0,79123.0,79743.0,2981300,2021-04-22
79743.0,80517.0,77807.0,80517.0,2285300,2021-04-23
80517.0,80517.0,75794.0,76336.0,3595400,2021-04-26
76336.0,77110.0,75639.0,76646.0,1191800,2021-04-27
76646.0,76878.0,75639.0,76646.0,1426900,2021-04-28
76646.0,77420.0,75872.0,77420.0,1615700,2021-04-29
76646.0,77110.0,75872.0,76723.0,1496300,2021-05-04
76723.0,78968.0,76723.0,78349.0,1826700,2021-05-05
78349.0,78736.0,76646.0,76878.0,1161200,2021-05-06
76568.0,76646.0,74865.0,75097.0,2284800,2021-05-07
74865.0,76026.0,74246.0,75949.0,1674000,2021-05-10
76026.0,76878.0,75485.0,75794.0,1171500,2021-05-11
75794.0,75794.0,75097.0,75330.0,1218300,2021-05-12
75252.0,75717.0,74943.0,74943.0,1698000,2021-05-13
75407.0,76104.0,74788.0,75020.0,1403600,2021-05-14
75175.0,75330.0,74168.0,74323.0,1715100,2021-05-17
73781.0,74323.0,73162.0,73239.0,2103400,2021-05-18
73239.0,73239.0,72620.0,72852.0,1678100,2021-05-19
72852.0,76646.0,72852.0,76646.0,1904100,2021-05-20
74555.0,75872.0,74323.0,74943.0,1459200,2021-05-21
75485.0,76259.0,74710.0,75407.0,1814700,2021-05-24
75407.0,77420.0,75407.0,77265.0,3816000,2021-05-25
77343.0,78814.0,77188.0,77730.0,2356000,2021-05-26
77420.0,77730.0,75872.0,76414.0,1455000,2021-05-27
76646.0,78272.0,75562.0,77110.0,2196000,2021-05-28
78194.0,78194.0,76104.0,76336.0,2621000,2021-05-31
76955.0,80672.0,76414.0,80285.0,4533500,2021-06-01
80517.0,83227.0,80285.0,82065.0,4274100,2021-06-02
82143.0,83614.0,82065.0,82607.0,2802000,2021-06-03
82452.0,82452.0,80594.0,81214.0,2405800,2021-06-04
80749.0,81214.0,78349.0,79743.0,2969900,2021-06-07
79743.0,80517.0,77420.0,77420.0,2351600,2021-06-08
77420.0,78968.0,76801.0,78968.0,2393900,2021-06-09
78891.0,79665.0,77420.0,78814.0,2262500,2021-06-10
78272.0,80130.0,77807.0,79588.0,2048000,2021-06-11
79046.0,80052.0,78426.0,78968.0,1459700,2021-06-14
79046.0,79743.0,78194.0,79588.0,1420700,2021-06-15
79356.0,82065.0,79356.0,80517.0,2898400,2021-06-16
79743.0,81291.0,78968.0,80672.0,1557000,2021-06-17
80904.0,84388.0,80749.0,84001.0,3234900,2021-06-18
83614.0,83768.0,82065.0,82530.0,2107900,2021-06-21
82917.0,84001.0,82452.0,83304.0,1481900,2021-06-22
83614.0,85936.0,82839.0,84930.0,2248600,2021-06-23
85085.0,85781.0,83459.0,85704.0,1143400,2021-06-24
85704.0,87330.0,84310.0,87175.0,1688800,2021-06-25
87252.0,87485.0,86014.0,87175.0,1524500,2021-06-28
86710.0,88259.0,86323.0,88259.0,1853100,2021-06-29
88259.0,90736.0,88259.0,90117.0,2768000,2021-06-30
90349.0,90427.0,89033.0,90117.0,1836400,2021-07-01
90117.0,90272.0,88259.0,88956.0,1727200,2021-07-02
88181.0,88181.0,85859.0,87949.0,2049100,2021-07-05
87098.0,89033.0,86710.0,86710.0,1669600,2021-07-06
86710.0,87794.0,82065.0,87794.0,2679800,2021-07-07
86091.0,87485.0,84388.0,85936.0,1384100,2021-07-08
85162.0,86014.0,82685.0,85007.0,2936900,2021-07-09
84775.0,84775.0,79820.0,82917.0,2480600,2021-07-12
82762.0,82762.0,79046.0,80052.0,1686000,2021-07-13
80052.0,80130.0,77420.0,78814.0,2251700,2021-07-14
77575.0,80904.0,77575.0,79356.0,2319400,2021-07-15
79356.0,80052.0,78194.0,79356.0,1467300,2021-07-16
77420.0,77575.0,74246.0,75097.0,2542200,2021-07-19
75717.0,78194.0,72388.0,77575.0,2386000,2021-07-20
77033.0,77807.0,76104.0,76646.0,1463700,2021-07-21
76568.0,77962.0,75872.0,77652.0,1455800,2021-07-22
76878.0,77265.0,75097.0,75097.0,1700300,2021-07-23
74710.0,75485.0,74091.0,74323.0,1264200,2021-07-26
75485.0,75562.0,73549.0,73549.0,2654200,2021-07-27
73626.0,75097.0,73626.0,75097.0,1490800,2021-07-28
75407.0,75794.0,75097.0,75794.0,1191800,2021-07-29
75330.0,76491.0,75252.0,75872.0,1354600,2021-07-30
75097.0,76414.0,74633.0,75097.0,1285000,2021-08-02
75175.0,76491.0,75097.0,76491.0,1265700,2021-08-03
76801.0,76878.0,75949.0,76259.0,1160300,2021-08-04
75872.0,77033.0,75794.0,76955.0,1127700,2021-08-05
77265.0,77265.0,75949.0,75949.0,1114400,2021-08-06
75949.0,76568.0,75639.0,76104.0,1228900,2021-08-09
76646.0,76801.0,76259.0,76646.0,1556400,2021-08-10
76878.0,78736.0,76723.0,77807.0,1711800,2021-08-11
77807.0,78039.0,77033.0,77343.0,986600,2021-08-12
77343.0,77343.0,76104.0,77110.0,1328900,2021-08-13
77110.0,77885.0,76646.0,77885.0,1992400,2021-08-16
79356.0,79743.0,78194.0,78194.0,1688700,2021-08-17
78194.0,79356.0,77188.0,78194.0,1848000,2021-08-18
77962.0,79743.0,77265.0,79588.0,2576600,2021-08-19
78349.0,78891.0,76955.0,77497.0,1798500,2021-08-20
